Ref,Common_group,Common_species,Genus,Species,fp,fpn,fp_last,ad,adn,ad_last,Column1
1,Ostrich,Common,Struthio,camelus,6.3593,658,9/26/22,1.9553,440,9/28/22,1
4,Grebe,Great Crested,Podiceps,cristatus,0.0773,8,7/30/22,0.0089,2,12/7/21,4
5,Grebe,Black-necked,Podiceps,nigricollis,0.1256,13,2/1/21,0.0311,7,1/9/21,5
6,Grebe,Little,Tachybaptus,ruficollis,11.5589,1196,9/25/22,2.3908,538,9/28/22,6
28,Shearwater,Tropical,Puffinus,bailloni,0.0097,1,2/23/19,0.0044,1,12/22/21,28
41,Pelican,Pink-backed,Pelecanus,rufescens,4.1461,429,9/21/22,1.0043,226,9/17/22,41
42,Pelican,Great White,Pelecanus,onocrotalus,5.0063,518,9/13/22,1.5376,346,9/5/22,42
47,Cormorant,White-breasted ,Phalacrocorax,lucidus,3.1893,330,8/28/22,0.4933,111,4/4/22,47
50,Cormorant,Reed,Microcarbo,africanus,19.2326,1990,9/26/22,3.4618,779,9/28/22,50
52,Darter,African,Anhinga,rufa,5.4509,564,9/26/22,0.7688,173,7/30/22,52
54,Heron,Grey,Ardea,cinerea,22.2383,2301,9/26/22,6.328,1424,9/24/22,54
55,Heron,Black-headed,Ardea,melanocephala,26.2492,2716,9/26/22,6.728,1514,9/28/22,55
56,Heron,Goliath,Ardea,goliath,2.7448,284,9/13/22,0.6977,157,9/17/22,56
57,Heron,Purple,Ardea,purpurea,4.2234,437,9/25/22,0.7688,173,9/8/22,57
58,Egret,Great,Ardea,alba,14.5356,1504,9/26/22,3.204,721,9/19/22,58
59,Egret,Little,Egretta,garzetta,8.7852,909,9/13/22,2.3241,523,9/17/22,59
60,Egret,Intermediate,Ardea,intermedia,8.2149,850,9/26/22,1.9464,438,9/28/22,60
61,Egret,Western Cattle,Bubulcus,ibis,22.0547,2282,9/26/22,8.2833,1864,9/25/22,61
62,Heron,Squacco,Ardeola,ralloides,5.3059,549,9/12/22,1.1376,256,9/26/22,62
63,Heron,Striated,Butorides,striata,6.485,671,9/13/22,1.0265,231,9/6/22,63
64,Heron,Black,Egretta,ardesiaca,1.5463,160,9/18/22,0.3555,80,6/15/22,64
65,Heron,Rufous-bellied,Ardeola,rufiventris,0.1353,14,6/13/22,0.1111,25,2/13/22,65
66,Bittern,Dwarf,Ixobrychus,sturmii,0.3383,35,9/21/22,0.0311,7,5/14/22,66
67,Bittern,Little,Ixobrychus,minutus,0.7152,74,8/27/22,0.0889,20,9/26/22,67
69,Heron,Black-crowned Night,Nycticorax,nycticorax,3.1797,329,8/27/22,0.6444,145,8/27/22,69
70,Heron,White-backed Night,Gorsachius,leuconotus,0.0966,10,6/13/21,0.0356,8,11/26/21,70
72,,Hamerkop,Scopus,umbretta,20.576,2129,9/26/22,5.2437,1180,9/16/22,72
73,Stork,Marabou,Leptoptilos,crumenifer,14.0331,1452,9/26/22,5.1104,1150,9/28/22,73
74,Openbill,African,Anastomus,lamelligerus,6.8232,706,9/21/22,1.5465,348,9/13/22,74
75,Stork,Saddle-billed,Ephippiorhynchus,senegalensis,1.7686,183,7/30/22,0.4266,96,9/18/22,75
76,Stork,Yellow-billed,Mycteria,ibis,14.8642,1538,9/26/22,3.9195,882,9/17/22,76
77,Stork,Woolly-necked,Ciconia,episcopus,7.7124,798,9/26/22,1.3865,312,9/1/22,77
78,Stork,Abdim's,Ciconia,abdimii,1.0728,111,6/30/22,0.4222,95,5/14/22,78
79,Stork,Black,Ciconia,nigra,1.3627,141,5/14/22,0.2266,51,2/27/22,79
80,Stork,White,Ciconia,ciconia,2.4548,254,6/23/22,0.8977,202,9/14/22,80
81,Ibis,African Sacred,Threskiornis,aethiopicus,28.53,2952,9/26/22,9.4165,2119,9/24/22,81
83,Ibis,Glossy,Plegadis,falcinellus,4.6487,481,9/13/22,1.302,293,9/17/22,83
84,Ibis,Hadada ,Bostrychia,hagedash,47.7046,4936,9/26/22,15.3091,3445,9/28/22,84
85,Spoonbill,African,Platalea,alba,11.4913,1189,9/26/22,2.8707,646,9/26/22,85
86,Flamingo,Greater ,Phoenicopterus,roseus,3.199,331,9/13/22,0.871,196,9/17/22,86
87,Flamingo,Lesser,Phoeniconaias,minor,2.9864,309,9/13/22,1.0799,243,9/17/22,87
88,Goose,Spur-winged,Plectropterus,gambensis,2.1359,221,9/4/22,0.5688,128,9/26/22,88
89,Goose,Egyptian,Alopochen,aegyptiaca,30.26,3131,9/26/22,8.1411,1832,9/28/22,89
91,Duck,Knob-billed,Sarkidiornis,melanotos,2.3775,246,9/4/22,0.5777,130,9/17/22,91
92,Goose,African Pygmy,Nettapus,auritus,1.0245,106,9/21/22,0.1378,31,5/14/22,92
93,Shoveler,Northern,Spatula,clypeata,0.3866,40,2/9/22,0.1111,25,12/7/21,93
95,Duck,African Black,Anas,sparsa,2.4065,249,9/24/22,0.7155,161,9/7/22,95
96,Duck,Yellow-billed,Anas,undulata,8.5822,888,9/25/22,2.3908,538,9/28/22,96
97,Teal,Red-billed,Anas,erythrorhyncha,4.6584,482,9/26/22,1.3554,305,9/17/22,97
98,Teal,Cape,Anas,capensis,1.498,155,7/31/22,0.4755,107,7/16/22,98
99,Teal,Blue-billed,Spatula,hottentota,2.4065,249,8/28/22,0.671,151,9/17/22,99
100,Duck,White-faced Whistling,Dendrocygna,viduata,8.2343,852,9/21/22,1.7242,388,9/17/22,100
101,Duck,Fulvous Whistling,Dendrocygna,bicolor,0.9858,102,5/14/22,0.1778,40,2/6/22,101
102,Pochard,Southern,Netta,erythrophthalma,0.3963,41,5/7/22,0.0667,15,12/20/21,102
103,Duck,Maccoa,Oxyura,maccoa,0.1256,13,2/23/22,0.0222,5,7/4/21,103
104,Duck,White-backed,Thalassornis,leuconotus,1.1598,120,9/19/22,0.2933,66,8/21/22,104
105,,Secretarybird,Sagittarius,serpentarius,5.5282,572,9/26/22,1.9864,447,9/14/22,105
107,Vulture,White-backed,Gyps,africanus,8.9591,927,9/26/22,2.1064,474,9/22/22,107
108,Vulture,Lappet-faced,Torgos,tracheliotos,2.4741,256,8/5/22,0.9377,211,9/17/22,108
109,Vulture,White-headed,Trigonoceps,occipitalis,0.7055,73,9/26/22,0.2622,59,9/22/22,109
110,Vulture,Hooded,Necrosyrtes,monachus,1.8653,193,9/4/22,0.4577,103,9/22/22,110
111,Vulture,Egyptian,Neophron,percnopterus,0.3479,36,5/4/22,0.1644,37,7/3/22,111
112,Vulture,Palm-nut,Gypohierax,angolensis,4.0108,415,8/28/22,0.6444,145,9/13/22,112
113,Falcon,Peregrine,Falco,peregrinus,0.8408,87,4/1/22,0.2755,62,7/14/22,113
114,Falcon,Lanner,Falco,biarmicus,3.8948,403,9/2/22,0.5733,129,9/22/22,114
115,Hobby,Eurasian,Falco,subbuteo,0.7828,81,5/1/22,0.0933,21,5/2/22,115
116,Hobby,African,Falco,cuvierii,0.2126,22,9/1/22,0.0444,10,9/4/21,116
117,Falcon,Red-necked,Falco,chicquera,0.203,21,7/21/22,0.0578,13,5/1/22,117
119,Falcon,Amur,Falco,amurensis,0.5316,55,4/4/22,0.1067,24,4/30/22,119
120,Falcon,Red-footed,Falco,vespertinus,0.0097,1,2/21/21,0.0089,2,5/8/21,120
121,Kestrel,Dickinson's,Falco,dickinsoni,0,0,-,0.0044,1,5/18/19,121
122,Kestrel,Greater,Falco,rupicoloides,0.3673,38,5/6/22,0.3244,73,4/30/22,122
123,Kestrel,Rock,Falco,rupicolus,0.1546,16,2/6/22,0.0178,4,1/31/21,123
125,Kestrel,Lesser,Falco,naumanni,1.2661,131,4/26/22,0.3111,70,5/8/22,125
126,Falcon,Pygmy,Polihierax,semitorquatus,3.0347,314,9/16/22,1.1865,267,9/16/22,126
127,Cuckoo-Hawk,African,Aviceda,cuculoides,0.2706,28,9/12/21,0.0444,10,8/13/21,127
128,Kite,Black,Milvus,migrans,10.5441,1091,9/18/22,5.3415,1202,9/28/22,128
129,Kite,Yellow-billed,Milvus,aegyptius,19.3099,1998,9/26/22,7.4968,1687,9/25/22,129
130,Kite,Black-winged ,Elanus,caeruleus,10.2735,1063,8/28/22,2.7063,609,9/25/22,130
131,Hawk,Bat,Macheiramphus,alcinus,0.4059,42,8/27/22,0.1155,26,6/16/22,131
132,Honey-buzzard,European,Pernis,apivorus,0.5219,54,4/11/22,0.0578,13,5/2/22,132
133,Eagle,Verreaux's,Aquila,verreauxii,2.2325,231,8/28/22,0.3733,84,6/7/22,133
134,Eagle,Tawny,Aquila,rapax,10.8051,1118,9/26/22,2.7552,620,9/19/22,134
135,Eagle,Steppe,Aquila,nipalensis,2.2422,232,9/16/22,0.6044,136,4/8/22,135
136,Eagle,Lesser Spotted,Clanga,pomarina,0.1063,11,11/30/21,0.0356,8,12/3/21,136
137,Eagle,Wahlberg's,Hieraaetus,wahlbergi,4.3588,451,9/26/22,0.8443,190,9/28/22,137
138,Eagle,Long-crested,Lophaetus,occipitalis,9.3554,968,9/18/22,2.0975,472,9/28/22,138
139,Eagle,Booted,Hieraaetus,pennatus,1.4304,148,3/14/22,0.1022,23,5/9/22,139
140,Hawk-Eagle,Ayre's,Hieraaetus,ayresii,1.7493,181,9/11/22,0.28,63,7/30/22,140
141,Hawk-eagle,African,Aquila,spilogaster,4.0978,424,9/26/22,0.7421,167,9/26/22,141
142,Eagle,Martial,Polemaetus,bellicosus,6.6783,691,9/3/22,1.4576,328,9/18/22,142
143,Eagle,Crowned ,Stephanoaetus,coronatus,3.1797,329,9/20/22,0.7066,159,8/21/22,143
144,Buzzard,Lizard,Kaupifalco,monogrammicus,6.8136,705,9/5/22,1.5331,345,9/25/22,144
145,Eagle,Brown Snake ,Circaetus,cinereus,2.7351,283,9/25/22,0.9554,215,9/26/22,145
146,Eagle,Black-chested Snake,Circaetus,pectoralis,4.3974,455,9/4/22,1.0132,228,9/26/22,146
147,Eagle,Southern Banded Snake ,Circaetus,fasciolatus,1.0148,105,5/29/22,0.1822,41,9/25/22,147
148,Eagle,Western Banded Snake ,Circaetus,cinerascens,0.2609,27,8/28/22,0.0844,19,7/31/22,148
149,Eagle,African Fish,Haliaeetus,vocifer,19.8512,2054,9/26/22,4.115,926,9/25/22,149
150,Vulture,Bearded,Gypaetus,barbatus,0.0097,1,5/7/19,0,0,-,150
151,,Bateleur,Terathopius,ecaudatus,7.6157,788,9/26/22,2.6041,586,9/26/22,151
153,Buzzard,Augur,Buteo,augur,23.3014,2411,9/25/22,5.7948,1304,9/28/22,153
154,Buzzard,Common,Buteo,buteo,4.987,516,5/13/22,0.951,214,9/14/22,154
156,Sparrowhawk,Rufous-breasted,Accipiter,rufiventris,0.2513,26,9/4/22,0.0444,10,11/4/19,156
157,Sparrowhawk,Ovambo,Accipiter,ovampensis,0.087,9,6/13/22,0.0178,4,5/8/21,157
158,Sparrowhawk,Little,Accipiter,minullus,3.5083,363,8/21/22,0.6177,139,9/25/22,158
159,Sparrowhawk,Black,Accipiter,melanoleucus,8.3599,865,9/19/22,1.4176,319,9/24/22,159
160,Goshawk,African,Accipiter,tachiro,6.8136,705,9/20/22,1.342,302,9/14/22,160
161,,Shikra,Accipiter,badius,1.701,176,9/2/22,0.3377,76,5/14/22,161
162,Goshawk,Gabar,Micronisus,gabar,7.1422,739,9/13/22,1.4576,328,9/20/22,162
163,Goshawk,Dark Chanting,Melierax,metabates,0.5702,59,9/4/22,0.2177,49,9/19/22,163
165,Goshawk,Pale Chanting,Melierax,canorus,0.0193,2,10/8/21,0.0044,1,10/14/21,165
166,Harrier,Western Marsh,Circus,aeruginosus,3.0734,318,5/14/22,0.6977,157,4/2/22,166
167,Harrier,African Marsh,Circus,ranivorus,0.7055,73,3/9/22,0.2044,46,7/29/22,167
168,Harrier,Pallid,Circus,macrourus,2.4935,258,3/19/22,0.5599,126,3/19/22,168
170,Harrier,Montagu's,Circus,pygargus,2.3098,239,3/17/22,0.5199,117,8/14/22,170
171,Harrier-Hawk,African,Polyboroides,typus,11.6362,1204,9/25/22,2.3819,536,9/28/22,171
172,Osprey,Western,Pandion,haliaetus,1.8459,191,9/25/22,0.4622,104,3/24/22,172
173,Francolin,Coqui,Peliperdix,coqui,2.7641,286,9/13/22,0.7643,172,9/25/22,173
174,Francolin,Crested,Dendroperdix,sephaena,18.9813,1964,9/26/22,3.4262,771,9/26/22,174
177,Francolin,Shelley's,Scleroptila,shelleyi,1.3047,135,8/6/22,0.1733,39,8/27/22,177
178,Francolin,Red-winged,Scleroptila,levaillantii,0.0193,2,6/13/22,0.0311,7,5/8/21,178
188,Spurfowl,Red-necked,Pternistis,afer,1.5077,156,7/30/22,0.3777,85,9/18/22,188
189,Quail,Common,Coturnix,coturnix,0.9278,96,4/27/22,0.2089,47,7/28/22,189
190,Quail,Harlequin,Coturnix,delegorguei,1.556,161,7/30/22,0.3555,80,7/11/22,190
192,Guineafowl,Helmeted,Numida,meleagris,18.1502,1878,9/26/22,4.5372,1021,9/26/22,192
193,Guineafowl,Crested,Guttera,pucherani,1.0824,112,7/20/22,0.2,45,3/24/22,193
196,Buttonquail,Common,Turnix,sylvaticus,0.4446,46,4/26/22,0.0889,20,6/14/22,196
197,Rail,African,Rallus,caerulescens,0.5026,52,9/18/22,0.0533,12,10/1/21,197
198,Crake,Corn,Crex,crex,0.0193,2,12/27/19,0.0089,2,1/4/20,198
199,Crake,African,Crecopsis,egregia,0.1353,14,5/14/21,0.0444,10,7/6/21,199
200,Crake,Striped,Aenigmatolimnas,marginalis,0,0,-,0.0089,2,6/24/18,200
201,Crake,Spotted,Porzana,porzana,0.0097,1,3/21/19,0.0044,1,3/26/06,201
203,Crake,Black,Zapornia,flavirostra,13.0859,1354,9/26/22,1.7953,404,9/28/22,203
205,Flufftail,Red-chested,Sarothrura,rufa,0.1836,19,10/9/21,0.0222,5,5/30/19,205
206,Flufftail,Buff-spotted,Sarothrura,elegans,0.0097,1,10/16/20,0.0178,4,2/17/22,206
207,Flufftail,Striped,Sarothrura,affinis,0.0097,1,12/25/17,0,0,-,207
208,Swamphen,African,Porphyrio,madagascariensis,1.2081,125,9/12/22,0.2666,60,9/4/22,208
209,Gallinule,Allen's,Porphyrio,alleni,0.8602,89,9/21/22,0.0444,10,6/20/22,209
210,Moorhen,Common,Gallinula,chloropus,7.0938,734,9/26/22,1.342,302,9/28/22,210
211,Moorhen,Lesser,Paragallinula,angulata,0.3673,38,8/4/22,0.0444,10,6/20/22,211
212,Coot,Red-knobbed,Fulica,cristata,4.3394,449,8/28/22,1.4487,326,9/16/22,212
213,Finfoot,African,Podica,senegalensis,0.0677,7,5/30/22,0.0044,1,7/2/17,213
214,Crane,Grey Crowned,Balearica,regulorum,12.9796,1343,9/26/22,4.1728,939,9/28/22,214
217,Bustard,Kori,Ardeotis,kori,4.9096,508,9/21/22,1.4709,331,9/17/22,217
219,Bustard,Denham's,Neotis,denhami,0.0483,5,5/6/22,0.0133,3,2/14/19,219
222,Bustard,White-bellied,Eupodotis,senegalensis,5.4412,563,9/26/22,1.3732,309,9/17/22,222
227,Bustard,Black-bellied,Lissotis,melanogaster,2.1455,222,9/13/22,0.671,151,9/9/22,227
228,Jacana,African,Actophilornis,africanus,10.3025,1066,9/26/22,2.453,552,9/28/22,228
229,Jacana,Lesser,Microparra,capensis,0.3286,34,7/30/22,0.1333,30,7/16/22,229
230,Painted-snipe,Greater,Rostratula,benghalensis,0.5509,57,6/22/22,0.0889,20,9/17/22,230
232,Turnstone,Ruddy,Arenaria,interpres,1.2854,133,8/21/22,0.2755,62,5/8/22,232
233,Plover,Common Ringed,Charadrius,hiaticula,6.3013,652,8/30/22,1.5065,339,6/30/22,233
234,Plover,Lesser Sand,Charadrius,mongolus,3.112,322,8/21/22,0.6266,141,5/8/22,234
235,Plover,White-fronted,Charadrius,marginatus,1.5753,163,8/21/22,0.2666,60,6/9/22,235
236,Plover,Chestnut-banded,Charadrius,pallidus,0.116,12,3/9/22,0.1511,34,9/17/22,236
237,Plover,Kittlitz's,Charadrius,pecuarius,3.9818,412,9/4/22,1.1865,267,9/17/22,237
238,Plover,Three-banded,Charadrius,tricollaris,14.8159,1533,9/26/22,2.6974,607,9/19/22,238
239,Plover,Greater Sand,Charadrius,leschenaultii,2.9864,309,8/21/22,0.5866,132,5/14/22,239
240,Plover,Caspian,Charadrius,asiaticus,0.4252,44,7/28/22,0.12,27,9/19/22,240
241,Plover,Grey,Pluvialis,squatarola,4.5327,469,8/21/22,1.031,232,7/30/22,241
242,Lapwing,Crowned,Vanellus,coronatus,16.2559,1682,9/26/22,4.075,917,9/25/22,242
243,Lapwing,Black-winged,Vanellus,melanopterus,2.2132,229,8/17/22,0.8221,185,9/18/22,243
244,Lapwing,Senegal,Vanellus,lugubris,2.0006,207,7/13/22,0.5244,118,9/9/22,244
245,Lapwing,Blacksmith,Vanellus,armatus,12.7767,1322,9/26/22,3.7062,834,9/17/22,245
247,Lapwing,African Wattled,Vanellus,senegallus,1.2564,130,8/18/22,0.4799,108,9/19/22,247
248,Lapwing,Long-toed,Vanellus,crassirostris,3.9818,412,9/26/22,0.911,205,9/17/22,248
249,Snipe,Great,Gallinago,media,0.0193,2,8/22/19,0.0044,1,11/22/99,249
250,Snipe,African,Gallinago,nigripennis,0.4252,44,7/30/22,0.2977,67,7/16/22,250
251,Sandpiper,Curlew,Calidris,ferruginea,3.9238,406,8/21/22,0.7243,163,5/8/22,251
253,Stint,Little,Calidris,minuta,6.9585,720,9/26/22,1.702,383,9/13/22,253
255,,Sanderling,Calidris,alba,2.1649,224,8/21/22,0.4088,92,9/1/22,255
256,,Ruff,Calidris,pugnax,4.1268,427,8/28/22,1.1065,249,9/17/22,256
257,Sandpiper,Terek,Xenus,cinereus,2.8317,293,8/21/22,0.551,124,4/8/22,257
258,Sandpiper,Common,Actitis,hypoleucos,17.0388,1763,9/26/22,3.4751,782,9/16/22,258
259,Sandpiper,Green,Tringa,ochropus,4.3201,447,9/13/22,0.9021,203,9/17/22,259
260,Redshank,Spotted,Tringa,erythropus,0.0773,8,3/8/22,0.0311,7,1/8/22,260
261,Redshank,Common,Tringa,totanus,0.1256,13,2/9/22,0.0489,11,2/13/22,261
262,Sandpiper,Marsh,Tringa,stagnatilis,3.6919,382,9/13/22,1.0043,226,9/17/22,262
263,Greenshank,Common,Tringa,nebularia,9.6356,997,9/26/22,2.2708,511,9/3/22,263
264,Sandpiper,Wood,Tringa,glareola,10.9307,1131,9/26/22,2.2797,513,9/16/22,264
265,Godwit,Black-tailed,Limosa,limosa,0.8312,86,8/28/22,0.1778,40,3/28/22,265
266,Godwit,Bar-tailed,Limosa,lapponica,0.6379,66,8/21/22,0.16,36,3/12/22,266
267,Curlew,Eurasian,Numenius,arquata,1.4594,151,8/21/22,0.32,72,4/16/22,267
268,Whimbrel,Eurasian ,Numenius,phaeopus,4.726,489,8/21/22,0.9021,203,8/23/22,268
269,Avocet,Pied,Recurvirostra,avosetta,1.6237,168,8/21/22,0.5288,119,9/17/22,269
270,Stilt,Black-winged,Himantopus,himantopus,7.2871,754,9/26/22,2.3819,536,9/17/22,270
272,Phalarope,Red-necked,Phalaropus,lobatus,0.0773,8,2/26/20,0.0178,4,3/24/22,272
273,,Crab-plover,Dromas,ardeola,2.8607,296,8/21/22,0.5644,127,6/4/22,273
274,Thick-knee,Water,Burhinus,vermiculatus,6.7073,694,9/21/22,1.031,232,9/26/22,274
275,Thick-knee,Spotted,Burhinus,capensis,2.5611,265,9/26/22,0.5688,128,9/8/22,275
277,Courser,Temminck's,Cursorius,temminckii,1.498,155,9/13/22,0.3866,87,9/8/22,277
278,Courser,Double-banded,Rhinoptilus,africanus,0.8602,89,6/23/22,0.2311,52,9/17/22,278
279,Courser,Three-banded,Rhinoptilus,cinctus,0.9181,95,9/3/22,0.0889,20,9/3/22,279
280,Courser,Bronze-winged,Rhinoptilus,chalcopterus,0.029,3,3/15/18,0.0178,4,5/1/21,280
281,Pratincole,Collared,Glareola,pratincola,1.44,149,7/24/22,0.3066,69,6/27/22,281
283,Pratincole,Rock,Glareola,nuchalis,0.0387,4,6/22/21,0.0356,8,4/24/22,283
284,Jaeger,Parasitic,Stercorarius,parasiticus,0.0097,1,5/20/21,0.0089,2,5/20/21,284
285,Jaeger,Pomarine,Stercorarius,pomarinus,0.0097,1,5/8/21,0,0,-,285
288,Gull,Grey-headed,Chroicocephalus,cirrocephalus,3.3246,344,9/13/22,1.0754,242,7/16/22,288
290,Tern,Caspian,Hydroprogne,caspia,1.2371,128,8/21/22,0.3466,78,6/17/22,290
291,Tern,Common,Sterna,hirundo,1.0824,112,7/29/22,0.2889,65,4/2/22,291
293,Tern,Roseate,Sterna,dougallii,0.5992,62,8/21/22,0.1378,31,7/6/22,293
295,Tern,Sooty,Onychoprion,fuscatus,0.087,9,10/9/21,0.0089,2,6/9/21,295
297,Tern,Lesser Crested,Thalasseus,bengalensis,2.5515,264,7/30/22,0.7466,168,7/6/22,297
298,Tern,Greater Crested,Thalasseus,bergii,0.9375,97,7/30/22,0.3111,70,8/20/22,298
299,Tern,Little,Sternula,albifrons,0.0677,7,4/30/22,0.0133,3,5/8/22,299
303,Noddy,Brown,Anous,stolidus,0.3286,34,7/5/22,0.0711,16,7/6/22,303
304,Tern,White-winged,Chlidonias,leucopterus,2.938,304,7/31/22,0.6221,140,9/17/22,304
305,Tern,Whiskered,Chlidonias,hybrida,2.4935,258,8/27/22,0.5466,123,7/16/22,305
306,Skimmer,African,Rynchops,flavirostris,0.2223,23,6/19/22,0.12,27,2/25/22,306
309,Sandgrouse,Yellow-throated,Pterocles,gutturalis,1.2274,127,8/17/22,0.3688,83,8/15/22,309
311,Pigeon,Speckled,Columba,guinea,17.8892,1851,9/25/22,7.7634,1747,9/25/22,311
312,Pigeon,African Olive,Columba,arquatrix,1.4497,150,7/2/22,0.2577,58,4/24/22,312
313,Pigeon,Eastern Bronze-naped,Columba,delegorguei,0.3866,40,4/20/22,0.0489,11,6/19/22,313
314,Dove,Red-eyed,Streptopelia,semitorquata,46.6609,4828,9/26/22,9.6343,2168,9/28/22,314
315,Dove,Mourning Collared,Streptopelia,decipiens,9.4713,980,9/26/22,2.3508,529,9/17/22,315
316,Dove,Cape Turtle,Streptopelia,capicola,43.6648,4518,9/26/22,11.6429,2620,9/26/22,316
317,Dove,Laughing,Spilopelia,senegalensis,19.6192,2030,9/26/22,5.537,1246,9/18/22,317
318,Dove,Namaqua,Oena,capensis,11.2593,1165,9/18/22,3.0751,692,9/17/22,318
319,Dove,Tambourine,Turtur,tympanistria,11.5299,1193,9/18/22,1.8042,406,9/25/22,319
