Ref,Common_group,Common_species,Genus,Species,fp,fpn,fp_last,ad,adn,ad_last
350,Cuckoo,"African Emerald",Chrysococcyx,cupreus,2.2334,236,2022-11-08,0.3694,85,2022-11-05
923,Cuckoo,"Barred Long-tailed",Cercococcyx,montanus,0.1136,12,2022-01-21,0.0130,3,2020-11-11
344,Cuckoo,Black,Cuculus,clamosus,2.6214,277,2022-11-08,0.3564,82,2022-06-22
340,Cuckoo,Common,Cuculus,canorus,1.3154,139,2022-04-29,0.2043,47,2022-05-14
352,Cuckoo,Diederik,Chrysococcyx,caprius,14.5547,1538,2022-10-30,2.5859,595,2022-11-08
346,Cuckoo,"Great Spotted",Clamator,glandarius,0.4637,49,2022-09-09,0.1347,31,2022-10-08
348,Cuckoo,Jacobin,Clamator,jacobinus,3.5488,375,2022-10-29,0.6476,149,2022-10-08
351,Cuckoo,Klaas's,Chrysococcyx,klaas,18.5956,1965,2022-11-09,3.2248,742,2022-11-09
4130,Cuckoo,"Lesser ",Cuculus,poliocephalus,0.0568,6,2019-11-27,0.0000,0,-
347,Cuckoo,Levaillant's,Clamator,levaillantii,0.5489,58,2022-09-02,0.1391,32,2022-09-02
1620,Cuckoo,Madagascan,Cuculus,rochii,0.0000,0,-,0.0043,1,2015-05-29
343,Cuckoo,Red-chested,Cuculus,solitarius,12.5674,1328,2022-11-09,2.6946,620,2022-11-09
345,Cuckoo,Thick-billed,Pachycoccyx,audeberti,0.2271,24,2022-04-12,0.0435,10,2022-10-07
127,Cuckoo-Hawk,African,Aviceda,cuculoides,0.2934,31,2022-10-28,0.0435,10,2021-08-13
513,Cuckooshrike,Black,Campephaga,flava,8.0534,851,2022-10-30,1.2082,278,2022-10-28
516,Cuckooshrike,"Grey ",Ceblepyris,caesius,1.2776,135,2022-10-18,0.1695,39,2022-09-20
2340,Cuckooshrike,"Petit's ",Campephaga,petiti,0.4542,48,2022-11-08,0.0391,9,2022-10-14
2344,Cuckooshrike,"Purple-throated ",Campephaga,quiscalina,0.5016,53,2022-11-05,0.0695,16,2022-02-17
515,Cuckooshrike,"White-breasted ",Ceblepyris,pectoralis,0.0095,1,2015-03-12,0.0000,0,-
267,Curlew,Eurasian,Numenius,arquata,1.4574,154,2022-10-15,0.3216,74,2022-10-08
52,Darter,African,Anhinga,rufa,5.4699,578,2022-11-09,0.8040,185,2022-11-09
1890,Dove,"Black-billed Wood",Turtur,abyssinicus,0.0095,1,2022-05-03,0.0000,0,-
320,Dove,"Blue-spotted Wood",Turtur,afer,2.4321,257,2022-10-25,0.2782,64,2022-10-01
316,Dove,"Cape Turtle",Streptopelia,capicola,43.7873,4627,2022-11-09,11.7258,2698,2022-11-11
1874,Dove,"Dusky Turtle",Streptopelia,lugens,6.4824,685,2022-10-28,1.0952,252,2022-10-13
321,Dove,"Emerald-spotted Wood",Turtur,chalcospilos,38.5918,4078,2022-11-09,7.8839,1814,2022-11-05
317,Dove,Laughing,Spilopelia,senegalensis,19.6082,2072,2022-11-05,5.5022,1266,2022-10-28
322,Dove,Lemon,Columba,larvata,0.7192,76,2022-07-20,0.1347,31,2022-10-26
315,Dove,"Mourning Collared",Streptopelia,decipiens,9.4256,996,2022-10-30,2.3556,542,2022-10-20
318,Dove,Namaqua,Oena,capensis,11.2047,1184,2022-11-03,3.0988,713,2022-11-07
314,Dove,Red-eyed,Streptopelia,semitorquata,46.6452,4929,2022-11-09,9.6832,2228,2022-11-09
940,Dove,Rock,Columba,livia,2.0346,215,2022-06-29,2.1296,490,2022-10-01
319,Dove,Tambourine,Turtur,tympanistria,11.6495,1231,2022-11-05,1.7993,414,2022-11-05
1880,Dove,Vinaceous,Streptopelia,vinacea,0.0095,1,2022-05-03,0.0000,0,-
518,Drongo,"Common Square-tailed",Dicrurus,ludwigii,0.3691,39,2022-10-22,0.0435,10,2022-05-24
517,Drongo,Fork-tailed,Dicrurus,adsimilis,44.0901,4659,2022-11-09,1.1430,263,2022-11-06
95,Duck,"African Black",Anas,sparsa,2.3942,253,2022-11-09,0.7128,164,2022-11-09
101,Duck,"Fulvous Whistling",Dendrocygna,bicolor,0.9653,102,2022-05-14,0.1738,40,2022-02-06
91,Duck,Knob-billed,Sarkidiornis,melanotos,2.4605,260,2022-11-03,0.5824,134,2022-10-04
103,Duck,Maccoa,Oxyura,maccoa,0.1230,13,2022-02-23,0.0217,5,2021-07-04
1294,Duck,Ring-necked,Aythya,collaris,0.0095,1,2014-07-28,0.0000,0,-
104,Duck,White-backed,Thalassornis,leuconotus,1.1545,122,2022-10-24,0.2955,68,2022-10-04
100,Duck,"White-faced Whistling",Dendrocygna,viduata,8.3089,878,2022-11-04,1.7167,395,2022-11-10
96,Duck,Yellow-billed,Anas,undulata,8.5833,907,2022-11-09,2.4208,557,2022-11-09
149,Eagle,"African Fish",Haliaeetus,vocifer,20.0246,2116,2022-11-09,4.1592,957,2022-11-09
2116,Eagle,"Beaudouin's Snake ",Circaetus,beaudouini,0.0095,1,2015-08-11,0.0043,1,2021-02-05
146,Eagle,"Black-chested Snake",Circaetus,pectoralis,4.4100,466,2022-11-05,1.0040,231,2022-11-05
139,Eagle,Booted,Hieraaetus,pennatus,1.4006,148,2022-03-14,0.1043,24,2022-10-28
145,Eagle,"Brown Snake ",Circaetus,cinereus,2.7728,293,2022-11-03,0.9518,219,2022-10-26
143,Eagle,"Crowned ",Stephanoaetus,coronatus,3.2081,339,2022-11-08,0.7084,163,2022-10-27
2096,Eagle,"Eastern Imperial",Aquila,heliaca,0.0379,4,2022-05-03,0.0043,1,2003-12-02
1098,Eagle,"Greater Spotted",Clanga,clanga,0.0852,9,2022-01-08,0.0304,7,2021-02-15
136,Eagle,"Lesser Spotted",Clanga,pomarina,0.1041,11,2021-11-30,0.0348,8,2021-12-03
138,Eagle,Long-crested,Lophaetus,occipitalis,9.2931,982,2022-11-04,2.1035,484,2022-11-06
142,Eagle,Martial,Polemaetus,bellicosus,6.7380,712,2022-10-28,1.4516,334,2022-10-08
147,Eagle,"Southern Banded Snake ",Circaetus,fasciolatus,1.0126,107,2022-10-28,0.1869,43,2022-10-07
135,Eagle,Steppe,Aquila,nipalensis,2.2144,234,2022-10-28,0.6171,142,2022-11-05
134,Eagle,Tawny,Aquila,rapax,10.9208,1154,2022-11-04,2.7598,635,2022-11-11
133,Eagle,Verreaux's,Aquila,verreauxii,2.2334,236,2022-10-08,0.3825,88,2022-10-28
137,Eagle,Wahlberg's,Hieraaetus,wahlbergi,4.3248,457,2022-10-30,0.8431,194,2022-10-07
148,Eagle,"Western Banded Snake ",Circaetus,cinerascens,0.2744,29,2022-10-30,0.0826,19,2022-07-31
367,Eagle-Owl,Cape,Bubo,capensis,0.0284,3,2021-02-19,0.0739,17,2022-10-03
1754,Eagle-Owl,Greyish,Bubo,cinerascens,0.3028,32,2022-10-01,0.0435,10,2022-10-08
368,Eagle-Owl,Spotted,Bubo,africanus,1.5047,159,2022-10-25,0.1999,46,2022-11-08
369,Eagle-Owl,Verreaux's,Bubo,lacteus,3.9368,416,2022-10-29,0.7041,162,2022-10-28
2188,Egret,Dimorphic,Egretta,dimorpha,3.5488,375,2022-10-28,0.7910,182,2022-10-08
58,Egret,Great,Ardea,alba,14.5737,1540,2022-11-03,3.2205,741,2022-11-08
60,Egret,Intermediate,Ardea,intermedia,8.2616,873,2022-11-09,1.9731,454,2022-11-09
59,Egret,Little,Egretta,garzetta,8.8010,930,2022-10-28,2.3469,540,2022-11-08
61,Egret,"Western Cattle",Bubulcus,ibis,22.0214,2327,2022-11-05,8.2359,1895,2022-11-09
3262,Eremomela,Green-backed,Eremomela,canescens,0.0284,3,2022-09-02,0.0174,4,2022-04-12
602,Eremomela,Green-capped,Eremomela,scotops,0.1136,12,2021-10-08,0.0174,4,2022-02-13
3272,Eremomela,Turner's,Eremomela,turneri,0.5205,55,2022-10-22,0.1043,24,2021-08-13
600,Eremomela,Yellow-bellied,Eremomela,icteropygialis,2.8674,303,2022-10-12,0.2912,67,2022-10-08
3268,Eremomela,Yellow-vented,Eremomela,flavicrissalis,0.1609,17,2022-10-08,0.0782,18,2022-05-16
119,Falcon,Amur,Falco,amurensis,0.5205,55,2022-04-04,0.1043,24,2022-04-30
2148,Falcon,Barbary,Falco,pelegrinoides,0.0000,0,-,0.0043,1,2000-11-06
992,Falcon,Eleonora's,Falco,eleonorae,0.0568,6,2019-04-08,0.0217,5,2020-10-31
114,Falcon,Lanner,Falco,biarmicus,3.8989,412,2022-11-08,0.5650,130,2022-10-08
113,Falcon,Peregrine,Falco,peregrinus,0.8422,89,2022-10-23,0.2695,62,2022-07-14
126,Falcon,Pygmy,Polihierax,semitorquatus,3.0567,323,2022-11-03,1.1821,272,2022-10-09
120,Falcon,Red-footed,Falco,vespertinus,0.0095,1,2021-02-21,0.0087,2,2021-05-08
117,Falcon,Red-necked,Falco,chicquera,0.1987,21,2022-07-21,0.0565,13,2022-05-01
888,Falcon,Sooty,Falco,concolor,0.1136,12,2022-10-30,0.0304,7,2022-03-30
887,Falcon,Taita,Falco,fasciinucha,0.0095,1,2017-03-14,0.0043,1,2021-07-22
854,Finch,Cuckoo,Anomalospiza,imberbis,0.4069,43,2022-09-26,0.0261,6,2021-07-30
821,Finch,Cut-throat,Amadina,fasciata,2.2996,243,2022-10-08,0.5824,134,2022-10-07
477,Finch,Oriole,Linurgus,olivaceus,0.1420,15,2022-04-04,0.0217,5,2020-04-26
213,Finfoot,African,Podica,senegalensis,0.0662,7,2022-05-30,0.0043,1,2017-07-02
833,Firefinch,African,Lagonosticta,rubricata,3.2081,339,2022-10-20,1.0474,241,2022-10-15
3768,Firefinch,Bar-breasted,Lagonosticta,rufopicta,0.3218,34,2022-01-08,0.0348,8,2022-04-24
3778,Firefinch,Black-bellied,Lagonosticta,rara,0.0284,3,2021-07-29,0.0000,0,-
835,Firefinch,Jameson's,Lagonosticta,rhodopareia,0.7192,76,2022-08-28,0.2347,54,2022-10-07
837,Firefinch,Red-billed,Lagonosticta,senegala,28.0401,2963,2022-11-09,4.5504,1047,2022-11-09
2284,Fiscal,Grey-backed,Lanius,excubitoroides,7.1354,754,2022-10-25,1.9036,438,2022-11-07
2278,Fiscal,Long-tailed,Lanius,cabanisi,13.4002,1416,2022-11-05,3.2509,748,2022-10-28
7887,Fiscal,Northern,Lanius,humeralis,25.0970,2652,2022-11-09,7.2320,1664,2022-11-09
2298,Fiscal,Somali,Lanius,somalicus,0.5205,55,2022-09-26,0.4868,112,2022-05-01
707,Fiscal,"Southern ",Lanius,collaris,0.2555,27,2022-10-04,0.0652,15,2022-10-28
2280,Fiscal,Taita,Lanius,dorsalis,4.5898,485,2022-11-03,2.0861,480,2022-10-09
86,Flamingo,"Greater ",Phoenicopterus,roseus,3.2176,340,2022-11-09,0.9083,209,2022-11-08
87,Flamingo,Lesser,Phoeniconaias,minor,2.9999,317,2022-11-09,1.0822,249,2022-11-07
206,Flufftail,Buff-spotted,Sarothrura,elegans,0.0095,1,2020-10-16,0.0174,4,2022-02-17
205,Flufftail,Red-chested,Sarothrura,rufa,0.1798,19,2021-10-09,0.0217,5,2019-05-30
892,Flufftail,Streaky-breasted,Sarothrura,boehmi,0.0000,0,-,0.0043,1,2019-12-09
207,Flufftail,Striped,Sarothrura,affinis,0.0095,1,2017-12-25,0.0000,0,-
1944,Flufftail,White-spotted,Sarothrura,pulchra,0.3218,34,2022-10-22,0.0261,6,2022-11-09
1127,Flycatcher,"African Blue ",Elminia,longicauda,3.4258,362,2022-11-08,0.5650,130,2022-10-18
655,Flycatcher,"African Dusky",Muscicapa,adusta,9.5202,1006,2022-11-09,1.8384,423,2022-11-09
2544,Flycatcher,"African Grey",Melaenornis,microrhynchus,14.6021,1543,2022-11-05,2.3556,542,2022-10-28
682,Flycatcher,"African Paradise",Terpsiphone,viridis,36.1597,3821,2022-11-09,6.7061,1543,2022-11-09
656,Flycatcher,Ashy,Muscicapa,caerulescens,1.4952,158,2022-11-08,0.3129,72,2022-08-25
680,Flycatcher,"Blue-mantled Crested",Trochocercus,cyanomelas,0.7098,75,2022-10-21,0.1391,32,2022-07-02
2638,Flycatcher,Chapin's,Muscicapa,lendu,0.0946,10,2022-10-22,0.0261,6,2021-08-13
1128,Flycatcher,"Dusky Crested",Elminia,nigromitrata,0.0757,8,2021-12-23,0.0130,3,2021-08-11
1022,Flycatcher,"European Pied",Ficedula,hypoleuca,0.1041,11,2021-11-28,0.0348,8,2021-04-15
2634,Flycatcher,Gambaga,Muscicapa,gambagae,0.4164,44,2022-04-10,0.0304,7,2020-12-13
2408,Flycatcher,"Little Yellow",Erythrocercus,holochlorus,1.3154,139,2022-10-15,0.2608,60,2022-08-21
2608,Flycatcher,"Northern Black",Melaenornis,edolioides,3.4920,369,2022-11-08,0.3564,82,2022-11-11
662,Flycatcher,Pale,Melaenornis,pallidus,11.6779,1234,2022-10-27,1.8036,415,2022-10-15
2584,Flycatcher,Semicollared,Ficedula,semitorquata,0.0000,0,-,0.0087,2,2019-02-28
664,Flycatcher,"Southern Black",Melaenornis,pammelaina,5.4793,579,2022-11-09,0.8475,195,2022-11-09
654,Flycatcher,Spotted,Muscicapa,striata,11.4791,1213,2022-11-09,1.8558,427,2022-11-01
1063,Flycatcher,Swamp,Muscicapa,aquatica,0.9558,101,2022-10-21,0.1130,26,2022-10-12
2600,Flycatcher,"White-eyed Slaty",Melaenornis,fischeri,21.7186,2295,2022-11-09,4.7720,1098,2022-11-11
681,Flycatcher,"White-tailed Crested",Elminia,albonotata,0.7665,81,2022-10-18,0.1000,23,2022-09-20
173,Francolin,Coqui,Peliperdix,coqui,2.7822,294,2022-11-04,0.7693,177,2022-10-31
174,Francolin,Crested,Dendroperdix,sephaena,19.0026,2008,2022-11-03,3.4161,786,2022-11-05
1254,Francolin,Moorland,Scleroptila,psilolaema,0.0000,0,-,0.0217,5,2021-07-30
178,Francolin,Red-winged,Scleroptila,levaillantii,0.0189,2,2022-06-13,0.0304,7,2021-05-08
1256,Francolin,Ring-necked,Scleroptila,streptophora,0.0095,1,2018-06-07,0.0000,0,-
177,Francolin,Shelley's,Scleroptila,shelleyi,1.2965,137,2022-10-22,0.1782,41,2022-10-02
1013,Frigatebird,Lesser,Fregata,ariel,0.0189,2,2021-10-25,0.0261,6,2021-11-02
209,Gallinule,Allen's,Porphyrio,alleni,0.9274,98,2022-10-27,0.0435,10,2022-06-20
1700,Go-away-bird,Bare-faced,Crinifer,personatus,2.5362,268,2022-11-05,0.4216,97,2022-10-08
1698,Go-away-bird,White-bellied,Crinifer,leucogaster,17.7155,1872,2022-11-03,4.4070,1014,2022-11-02
266,Godwit,Bar-tailed,Limosa,lapponica,0.6719,71,2022-10-21,0.1738,40,2022-10-08
265,Godwit,Black-tailed,Limosa,limosa,0.8328,88,2022-09-26,0.1956,45,2022-11-08
2428,Gonolek,Black-headed,Laniarius,erythrogaster,2.9053,307,2022-10-25,0.5085,117,2022-10-15
2438,Gonolek,Papyrus,Laniarius,mufumbiri,0.2744,29,2022-08-27,0.0478,11,2022-09-28
92,Goose,"African Pygmy",Nettapus,auritus,1.0599,112,2022-10-22,0.1347,31,2022-05-14
89,Goose,Egyptian,Alopochen,aegyptiaca,30.2735,3199,2022-11-09,8.1751,1881,2022-11-08
88,Goose,Spur-winged,Plectropterus,gambensis,2.1955,232,2022-10-30,0.5737,132,2022-11-08
160,Goshawk,African,Accipiter,tachiro,6.8137,720,2022-11-04,1.3516,311,2022-10-27
163,Goshawk,"Dark Chanting",Melierax,metabates,0.5583,59,2022-09-04,0.2217,51,2022-10-17
2136,Goshawk,"Eastern Chanting",Melierax,poliopterus,6.8042,719,2022-11-03,2.8771,662,2022-10-25
162,Goshawk,Gabar,Micronisus,gabar,7.0692,747,2022-10-30,1.4516,334,2022-10-22
165,Goshawk,"Pale Chanting",Melierax,canorus,0.0189,2,2021-10-08,0.0043,1,2021-10-14
616,Grassbird,Fan-tailed,Catriscus,brevirostris,0.1041,11,2022-07-30,0.0217,5,2022-02-13
5,Grebe,Black-necked,Podiceps,nigricollis,0.1230,13,2021-02-01,0.0304,7,2021-01-09
4,Grebe,"Great Crested",Podiceps,cristatus,0.0757,8,2022-07-30,0.0087,2,2021-12-07
6,Grebe,Little,Tachybaptus,ruficollis,11.5832,1224,2022-11-09,2.4034,553,2022-11-09
2944,Greenbul,Ansorge's,Eurillas,ansorgei,0.3218,34,2022-11-08,0.0565,13,2021-10-24
1086,Greenbul,Cabanis's,Phyllastrephus,cabanisi,3.3974,359,2022-11-08,0.5302,122,2022-09-14
2998,Greenbul,Fischer's,Phyllastrephus,fischeri,1.2397,131,2022-10-21,0.2695,62,2022-10-15
965,Greenbul,Grey-olive,Phyllastrephus,cerviniventris,0.8422,89,2022-09-28,0.0608,14,2022-09-28
1113,Greenbul,Honeyguide,Baeopogon,indicator,0.1893,20,2022-11-08,0.0174,4,2020-12-26
2972,Greenbul,Joyful,Chlorocichla,laetissima,0.9274,98,2022-11-08,0.1130,26,2021-11-30
2952,Greenbul,Kakamega,Arizelocichla,kakamegae,0.3028,32,2022-11-08,0.0391,9,2022-05-24
565,Greenbul,Little,Eurillas,virens,0.3880,41,2022-11-08,0.0608,14,2022-10-16
2950,Greenbul,"Little Grey",Eurillas,gracilis,0.3123,33,2022-11-08,0.0261,6,2022-10-14
548,Greenbul,"Lowland Tiny",Phyllastrephus,debilis,0.6719,71,2022-10-06,0.1347,31,2022-10-16
2942,Greenbul,"Mountain ",Arizelocichla,nigriceps,1.0883,115,2022-10-05,0.1912,44,2022-07-16
2954,Greenbul,"Olive-breasted ",Arizelocichla,kikuyuensis,0.4164,44,2022-10-18,0.0869,20,2022-07-16
541,Greenbul,Placid,Phyllastrephus,placidus,0.7003,74,2022-10-18,0.1565,36,2022-10-01
2946,Greenbul,Plain,Eurillas,curvirostris,0.0379,4,2022-01-26,0.0043,1,2015-10-27
555,Greenbul,Shelley's,Arizelocichla,masukuensis,0.1609,17,2022-09-11,0.0348,8,2022-10-14
2948,Greenbul,Slender-billed,Stelgidillas,gracilirostris,1.6277,172,2022-11-08,0.2521,58,2022-03-29
551,Greenbul,Sombre,Andropadus,importunus,12.1889,1288,2022-11-09,3.3813,778,2022-10-20
549,Greenbul,Stripe-cheeked,Arizelocichla,milanjensis,0.1703,18,2022-07-02,0.0869,20,2022-07-10
2958,Greenbul,Stripe-faced,Arizelocichla,striifacies,0.0284,3,2022-02-22,0.0348,8,2022-05-14
3012,Greenbul,"Toro Olive",Phyllastrephus,hypochloris,0.1703,18,2022-10-22,0.0043,1,2021-08-11
550,Greenbul,Yellow-bellied,Chlorocichla,flaviventris,5.9714,631,2022-10-27,1.6168,372,2022-10-20
1111,Greenbul,Yellow-whiskered,Eurillas,latirostris,7.8073,825,2022-11-09,1.5994,368,2022-11-09
945,Greenbul,"Zanzibar Sombre ",Andropadus,"importunus insularis",5.6686,599,2021-11-25,0.9040,208,2021-05-08
263,Greenshank,Common,Tringa,nebularia,9.6338,1018,2022-10-28,2.3165,533,2022-11-08
3978,Grenadier,Purple,Granatina,ianthinogaster,20.8385,2202,2022-11-05,3.7420,861,2022-11-05
4094,Grosbeak-Canary,Northern,Crithagra,donaldsoni,0.0568,6,2021-03-14,0.0043,1,2021-10-09
4086,Grosbeak-Canary,Southern,Crithagra,buchanani,0.8990,95,2022-01-23,0.1304,30,2022-07-16
193,Guineafowl,Crested,Guttera,pucherani,1.0694,113,2022-10-15,0.2173,50,2022-10-27
192,Guineafowl,Helmeted,Numida,meleagris,18.1508,1918,2022-11-05,4.5808,1054,2022-11-07
1260,Guineafowl,Vulturine,Acryllium,vulturinum,3.9746,420,2022-11-03,1.3430,309,2022-10-09
933,Gull,Black-headed,Chroicocephalus,ridibundus,0.3596,38,2022-10-16,0.1565,36,2022-07-16
288,Gull,Grey-headed,Chroicocephalus,cirrocephalus,3.3406,353,2022-11-09,1.0865,250,2022-11-07
2042,Gull,Heuglin's,Larus,heuglini,0.0757,8,2018-04-16,0.0174,4,2017-11-12
4136,Gull,"Lesser Black-backed",Larus,fuscus,0.7476,79,2022-08-31,0.3216,74,2022-10-08
2052,Gull,"Mew ",Larus,canus,0.0189,2,2019-11-23,0.0000,0,-
1078,Gull,Slender-billed,Chroicocephalus,genei,0.0284,3,2022-07-16,0.0217,5,2022-05-08
2058,Gull,Sooty,Ichthyaetus,hemprichii,2.0536,217,2022-10-21,0.6823,157,2022-10-27
167,Harrier,"African Marsh",Circus,ranivorus,0.6908,73,2022-03-09,0.1999,46,2022-07-29
170,Harrier,Montagu's,Circus,pygargus,2.3469,248,2022-11-03,0.5172,119,2022-10-18
168,Harrier,Pallid,Circus,macrourus,2.5078,265,2022-11-04,0.5737,132,2022-11-08
166,Harrier,"Western Marsh",Circus,aeruginosus,3.0188,319,2022-10-30,0.6823,157,2022-04-02
171,Harrier-Hawk,African,Polyboroides,typus,11.6400,1230,2022-11-04,2.3643,544,2022-11-11
131,Hawk,Bat,Macheiramphus,alcinus,0.3975,42,2022-08-27,0.1130,26,2022-06-16
141,Hawk-eagle,African,Aquila,spilogaster,4.1450,438,2022-11-03,0.7388,170,2022-10-28
140,Hawk-Eagle,Ayre's,Hieraaetus,ayresii,1.7129,181,2022-09-11,0.2738,63,2022-07-30
729,Helmetshrike,Chestnut-fronted,Prionops,scopifrons,2.2712,240,2022-10-21,0.6302,145,2022-10-20
2478,Helmetshrike,Grey-crested,Prionops,poliolophus,0.2271,24,2022-03-28,0.1000,23,2022-05-20
728,Helmetshrike,Retz's,Prionops,retzii,2.9526,312,2022-10-29,0.7345,169,2022-10-27
727,Helmetshrike,White-crested,Prionops,plumatus,3.2743,346,2022-10-30,0.6302,145,2022-11-01
64,Heron,Black,Egretta,ardesiaca,1.5899,168,2022-10-22,0.3694,85,2022-11-04
69,Heron,"Black-crowned Night",Nycticorax,nycticorax,3.2270,341,2022-11-03,0.6650,153,2022-10-27
55,Heron,Black-headed,Ardea,melanocephala,26.2705,2776,2022-11-05,6.7626,1556,2022-11-09
56,Heron,Goliath,Ardea,goliath,2.8674,303,2022-11-03,0.7388,170,2022-11-08
54,Heron,Grey,Ardea,cinerea,22.2296,2349,2022-11-09,6.3236,1455,2022-11-10
883,Heron,"Malagasy Pond",Ardeola,idae,1.7602,186,2022-10-22,0.0956,22,2022-07-30
57,Heron,Purple,Ardea,purpurea,4.2302,447,2022-10-22,0.7693,177,2022-10-08
65,Heron,Rufous-bellied,Ardeola,rufiventris,0.1325,14,2022-06-13,0.1087,25,2022-02-13
62,Heron,Squacco,Ardeola,ralloides,5.3279,563,2022-11-02,1.1430,263,2022-11-08
63,Heron,Striated,Butorides,striata,6.5771,695,2022-11-04,1.0387,239,2022-11-10
2190,Heron,"Western Reef",Egretta,gularis,0.0852,9,2022-02-27,0.0261,6,2020-11-30
70,Heron,"White-backed Night",Gorsachius,leuconotus,0.0946,10,2021-06-13,0.0391,9,2022-11-01
116,Hobby,African,Falco,cuvierii,0.2082,22,2022-09-01,0.0435,10,2021-09-04
